Date,Price,Open,High,Low,Vol.,Change %
"Sep 30, 2013",5218.88,5307.10,5307.10,5218.90,561.52M,-0.0166
"Sep 27, 2013",5307.06,5294.50,5314.30,5294.50,567.08M,0.0024
"Sep 26, 2013",5294.45,5275.90,5294.50,5249.30,471.28M,0.0035
"Sep 25, 2013",5275.94,5234.20,5283.80,5230.50,558.60M,0.0080
"Sep 24, 2013",5234.16,5252.50,5252.50,5217.90,491.86M,-0.0035
"Sep 23, 2013",5252.46,5276.70,5276.70,5227.40,509.90M,-0.0046
"Sep 20, 2013",5276.69,5295.50,5295.50,5268.80,1.20B,-0.0036
"Sep 19, 2013",5295.55,5238.20,5300.10,5238.20,1.12B,0.0110
"Sep 18, 2013",5238.14,5251.20,5254.50,5227.70,655.82M,-0.0025
"Sep 17, 2013",5251.24,5248.00,5263.40,5227.60,585.16M,0.0006
"Sep 16, 2013",5247.99,5219.60,5266.10,5219.60,499.43M,0.0054
"Sep 13, 2013",5219.63,5242.50,5242.50,5208.20,655.17M,-0.0044
"Sep 12, 2013",5242.54,5234.40,5252.10,5228.90,745.32M,0.0016
"Sep 11, 2013",5234.39,5201.20,5234.40,5201.20,693.86M,0.0064
"Sep 10, 2013",5201.17,5181.50,5212.40,5181.50,549.10M,0.0038
"Sep 09, 2013",5181.47,5145.00,5181.50,5145.00,543.70M,0.0071
"Sep 06, 2013",5144.99,5142.50,5156.90,5115.10,628.79M,0.0005
"Sep 05, 2013",5142.51,5161.60,5172.10,5116.40,650.10M,-0.0037
"Sep 04, 2013",5161.64,5196.60,5196.60,5152.70,702.48M,-0.0067
"Sep 03, 2013",5196.57,5188.30,5207.70,5187.70,724.79M,0.0016
"Sep 02, 2013",5188.28,5135.00,5191.10,5126.60,634.13M,0.0104
"Aug 30, 2013",5134.96,5092.40,5135.00,5075.90,871.89M,0.0084
"Aug 29, 2013",5092.41,5087.20,5098.80,5064.10,781.01M,0.0010
"Aug 28, 2013",5087.16,5141.20,5141.20,5076.40,730.86M,-0.0105
"Aug 27, 2013",5141.22,5135.00,5143.80,5108.90,577.51M,0.0011
"Aug 26, 2013",5135.40,5123.40,5157.10,5123.40,619.82M,0.0024
